x,y,V
cm,cm,V
0.5,0.5,6.9
2.5,0.5,6.8
4.5,0.5,6.7
6.5,0.5,6.4
8.5,0.5,5.9
10.5,0.5,5.4
12.5,0.5,4.8
14.5,0.5,4.3
16.5,0.5,3.8
18.5,0.5,3
20.5,0.5,3.1
22.5,0.5,2.9
24.5,0.5,2.85
0.5,2.5,7
2.5,2.5,6.9
4.5,2.5,6.6
6.5,2.5,6.5
8.5,2.5,6
10.5,2.5,5.5
12.5,2.5,4.8
14.5,2.5,4.3
16.5,2.5,3.7
18.5,2.5,3.3
20.5,2.5,3
22.5,2.5,2.9
24.5,2.5,2.8
0.5,4.5,7.1
2.5,4.5,7
4.5,4.5,7
6.5,4.5,6.7
8.5,4.5,6.2
10.5,4.5,5.5
12.5,4.5,4.9
14.5,4.5,4.2
16.5,4.5,3.6
18.5,4.5,3.1
20.5,4.5,2.8
22.5,4.5,2.7
24.5,4.5,2.6
0.5,6.5,7.2
2.5,6.5,7.2
4.5,6.5,7.3
6.5,6.5,7.1
8.5,6.5,6.5
10.5,6.5,5.7
12.5,6.5,4.9
14.5,6.5,4.1
16.5,6.5,3.2
18.5,6.5,2.6
20.5,6.5,2.5
22.5,6.5,2.5
24.5,6.5,2.6
0.5,8.5,7.3
2.5,8.5,7.4
4.5,8.5,7.7
6.5,8.5,8
8.5,8.5,7
10.5,8.5,5.9
12.5,8.5,4.9
14.5,8.5,3.9
16.5,8.5,2.8
18.5,8.5,1.7
20.5,8.5,2.1
22.5,8.5,2.4
24.5,8.5,2.5
0.5,10.5,7.3
2.5,10.5,7.5
4.5,10.5,7.9
6.5,10.5,9
8.5,10.5,7.2
10.5,10.5,5.9
12.5,10.5,4.9
14.5,10.5,3.9
16.5,10.5,2.7
18.5,10.5,1
20.5,10.5,1.9
22.5,10.5,2.3
24.5,10.5,2.5
0.5,12.5,7.3
2.5,12.5,7.4
4.5,12.5,7.6
6.5,12.5,7.5
8.5,12.5,6.8
10.5,12.5,5.8
12.5,12.5,4.9
14.5,12.5,4
16.5,12.5,3
18.5,12.5,2.2
20.5,12.5,2.3
22.5,12.5,2.5
24.5,12.5,2.5
0.5,14.5,7.2
2.5,14.5,7.2
4.5,14.5,7.1
6.5,14.5,6.9
8.5,14.5,6.4
10.5,14.5,5.7
12.5,14.5,4.9
14.5,14.5,4.2
16.5,14.5,3.4
18.5,14.5,2.9
20.5,14.5,2.7
22.5,14.5,2.7
24.5,14.5,2.7
0.5,16.5,7.1
2.5,16.5,6.9
4.5,16.5,6.9
6.5,16.5,6.6
8.5,16.5,6.1
10.5,16.5,5.6
12.5,16.5,4.9
14.5,16.5,4.3
16.5,16.5,3.7
18.5,16.5,3.2
20.5,16.5,3
22.5,16.5,2.8
24.5,16.5,2.8
0.5,18.5,7
2.5,18.5,6.9
4.5,18.5,6.6
6.5,18.5,6.4
8.5,18.5,6
10.5,18.5,5.5
12.5,18.5,4.9
14.5,18.5,4.4
16.5,18.5,3.9
18.5,18.5,3.4
20.5,18.5,3.1
22.5,18.5,3
24.5,18.5,2.9
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
