Time,Resistor Voltage,Capacitor Voltage,,
s,V,V,,
0,-0.003046215,-0.002852955,,
0.1,0.006111294,0.000199548,,
0.2,6.29E-06,0.006304554,,
0.3,6.29E-06,-0.002852955,,
0.4,0.0122163,0.006304554,,
0.5,0.054951343,-0.005905458,,
0.6,0.09158138,0.003252051,,
0.7,0.097686386,0.006304554,,
0.8,0.112948901,0.003252051,,
0.9,0.152631441,0.009357057,,
1,0.164841453,-0.002852955,,
1.1,0.219786508,0.006304554,,
1.2,0.265574054,0.009357057,,
1.3,0.317466606,0.003252051,,
1.4,0.354096642,0.01240956,,
1.5,0.390726679,0.01240956,,
1.6,0.424304212,0.006304554,,
1.7,0.445671734,0.015462063,,
1.8,0.473144261,0.02156707,,
1.9,0.476196764,0.01240956,,
2,0.500616789,0.018514567,,
2.1,0.49145928,0.024619573,,
2.2,0.497564286,0.030724579,,
2.3,0.485354274,0.018514567,,
2.4,0.509774298,0.030724579,,
2.5,0.531141819,0.036829585,,
2.6,0.555561844,0.036829585,,
2.7,0.558614347,0.030724579,,
2.8,0.567771856,0.042934591,,
2.9,0.595244383,0.042934591,,
3,0.59219188,0.045987094,,
3.1,0.625769414,0.0520921,,
3.2,0.644084432,0.039882088,,
3.3,0.644084432,0.045987094,,
3.4,0.674609463,0.055144603,,
3.5,0.717344505,0.058197106,,
3.6,0.747869536,0.064302112,,
3.7,0.775342063,0.067354615,,
3.8,0.808919597,0.070407118,,
3.9,0.827234615,0.073459621,,
4,0.839444628,0.079564628,,
4.1,0.842497131,0.079564628,,
4.2,0.842497131,0.085669634,,
4.3,0.857759646,0.088722137,,
4.4,0.879127167,0.09177464,,
4.5,0.891337179,0.094827143,,
4.6,0.891337179,0.100932149,,
4.7,0.897442186,0.100932149,,
4.8,0.903547192,0.107037155,,
4.9,0.903547192,0.113142161,,
5,0.903547192,0.110089658,,
5.1,0.906599695,0.113142161,,
5.2,0.918809707,0.116194664,,
5.3,0.940177228,0.119247167,,
5.4,0.943229731,0.119247167,,
5.5,0.943229731,0.128404676,,
5.6,0.949334737,0.134509683,,
5.7,0.952387241,0.140614689,,
5.8,0.949334737,0.149772198,,
5.9,0.964597253,0.152824701,,
6,0.967649756,0.155877204,,
6.1,0.973754762,0.16198221,,
6.2,0.96154475,0.16198221,,
6.3,0.982912271,0.168087216,,
6.4,0.985964774,0.174192222,,
6.5,0.985964774,0.177244725,,
6.6,0.985964774,0.180297228,,
6.7,0.985964774,0.183349731,,
6.8,1.004279792,0.180297228,,
6.9,0.995122283,0.183349731,,
7,0.985964774,0.198612247,,
7.1,0.995122283,0.20166475,,
7.2,0.989017277,0.210822259,,
7.3,0.99206978,0.213874762,,
7.4,1.004279792,0.216927265,,
7.5,1.013437302,0.219979768,,
7.6,1.016489805,0.226084774,,
7.7,1.010384799,0.226084774,,
